,XMEAS1,XMEAS2,XMEAS3,XMEAS4,XMEAS5,XMEAS6,XMEAS7,XMEAS8,XMEAS9,XMEAS10,XMEAS11,XMEAS12,XMEAS13,XMEAS14,XMEAS15,XMEAS16,XMEAS17,XMEAS18,XMEAS19,XMEAS20,XMEAS21,XMEAS22,XMEAS23,XMEAS24,XMEAS25,XMEAS26,XMEAS27,XMEAS28,XMEAS29,XMEAS30,XMEAS31,XMEAS32,XMEAS33,XMEAS34,XMEAS35,XMEAS36,XMEAS37,XMEAS38,XMEAS39,XMEAS40,XMEAS41
0,0.25025,3657.2,4520.1,9.3965,26.715,42.191,2704.5,74.593,120.42,0.33701,80.05,48.281,2632.5,23.661,51.052,3102.5,22.987,65.724,230.18,341.61,94.544,77.049,32.188,8.8933,26.383,6.882,18.776,1.6567,32.958,13.823,23.978,1.2565,18.579,2.2633,4.8436,2.2986,0.017866,0.8357,0.098577,53.724,43.828
1,0.25135,3662.1,4532.3,9.402,26.644,42.812,2704.9,75.044,120.39,0.33723,80.058,50.358,2633.5,24.866,51.441,3102.7,23.004,65.7,230.82,341.54,94.594,77.106,32.188,8.8933,26.383,6.882,18.776,1.6567,32.958,13.823,23.978,1.2565,18.579,2.2633,4.8436,2.2986,0.017866,0.8357,0.098577,53.724,43.828
2,0.25045,3681.9,4493.6,9.2395,26.971,42.282,2705.0,75.405,120.42,0.33643,80.131,50.406,2633.8,23.855,49.126,3101.9,22.981,65.717,232.39,341.57,94.666,77.777,31.822,8.9921,26.465,6.8051,18.744,1.6755,32.72,13.87,24.125,1.2235,18.591,2.2871,4.8855,2.3619,0.017866,0.8357,0.098577,53.724,43.828
3,0.25056,3667.9,4466.0,9.3602,26.937,42.194,2705.9,75.397,120.41,0.33891,80.215,49.4,2634.9,24.319,49.842,3103.9,23.095,65.76,230.73,341.28,94.539,77.171,31.822,8.9921,26.465,6.8051,18.744,1.6755,32.72,13.87,24.125,1.2235,18.591,2.2871,4.8855,2.3619,0.017866,0.8357,0.098577,53.724,43.828
4,0.28659,3693.0,4502.5,9.5652,26.999,42.54,2704.3,74.749,120.39,0.34173,79.977,48.906,2632.4,26.103,49.586,3103.2,22.429,65.749,230.58,341.12,94.594,77.095,32.465,8.8021,26.434,6.8798,18.418,1.6352,32.819,13.852,24.108,1.1785,18.46,2.2185,4.842,2.2426,0.017866,0.8357,0.098577,53.724,43.828
5,0.28583,3684.4,4507.9,9.2356,26.806,42.361,2704.6,75.749,120.41,0.34009,80.05,50.461,2632.7,26.324,49.253,3103.2,22.589,65.721,231.9,341.55,94.515,77.371,32.465,8.8021,26.434,6.8798,18.418,1.6352,32.819,13.852,24.108,1.1785,18.46,2.2185,4.842,2.2426,0.015285,0.82183,0.086216,54.047,44.618
6,0.22711,3683.1,4534.6,9.3129,27.369,42.257,2704.8,75.744,120.41,0.34103,80.158,49.124,2633.1,24.144,50.515,3102.4,23.198,65.737,231.14,341.59,94.551,77.244,31.588,8.8503,26.21,6.7487,18.505,1.6805,32.579,13.88,23.872,1.3306,18.64,2.2298,4.8107,2.2818,0.015285,0.82183,0.086216,54.047,44.618
7,0.22718,3660.9,4530.4,9.3504,26.824,42.552,2705.0,75.223,120.41,0.34259,80.251,50.408,2633.4,24.471,48.339,3102.5,23.136,65.748,230.53,341.5,94.648,77.439,31.588,8.8503,26.21,6.7487,18.505,1.6805,32.579,13.88,23.872,1.3306,18.64,2.2298,4.8107,2.2818,0.015285,0.82183,0.086216,54.047,44.618
8,0.31198,3705.5,4511.7,9.2332,27.009,42.342,2706.7,74.966,120.38,0.34617,80.357,50.196,2635.7,24.821,51.265,3106.0,23.441,65.781,230.47,340.94,94.412,77.823,32.382,9.0133,26.458,7.0752,18.907,1.6873,32.615,13.698,24.034,1.1127,19.179,2.2797,4.8851,2.2659,0.015285,0.82183,0.086216,54.047,44.618
9,0.31262,3748.1,4564.5,9.3079,27.075,42.114,2706.1,74.822,120.42,0.34086,80.283,50.459,2634.6,23.248,47.825,3106.0,22.566,65.829,229.86,340.81,94.359,77.068,32.382,9.0133,26.458,7.0752,18.907,1.6873,32.615,13.698,24.034,1.1127,19.179,2.2797,4.8851,2.2659,0.015285,0.82183,0.086216,54.047,44.618
10,0.23773,3612.0,4504.1,9.2851,26.898,42.375,2703.1,75.089,120.38,0.3273,79.947,49.086,2631.9,24.149,49.507,3099.7,21.391,65.791,228.89,341.87,94.676,76.826,32.202,9.0327,26.462,6.9675,18.674,1.6398,33.277,13.675,23.697,1.4116,18.344,2.2826,4.8701,2.3211,0.025131,0.85294,0.079424,54.779,43.54
11,0.23829,3611.6,4480.8,9.3074,27.111,42.509,2703.1,74.482,120.39,0.32555,80.013,52.066,2632.1,26.464,49.632,3098.7,23.353,65.678,228.44,341.8,94.721,77.558,32.202,9.0327,26.462,6.9675,18.674,1.6398,33.277,13.675,23.697,1.4116,18.344,2.2826,4.8701,2.3211,0.025131,0.85294,0.079424,54.779,43.54
12,0.2542,3626.9,4502.4,9.3806,27.19,42.033,2707.9,75.071,120.37,0.32292,80.344,49.598,2636.3,25.629,51.77,3102.6,22.267,65.695,225.83,341.59,94.606,77.528,32.12,8.8421,26.189,6.9027,18.578,1.6506,33.293,13.914,23.769,1.0653,18.608,2.2513,4.926,2.291,0.025131,0.85294,0.079424,54.779,43.54
